Name,Speed,Accuracy,Efficiency
Test 1,86,41,69
Test 2,86,40,69
Test 3,86,39,54
Test 4,86,41,38
Test 5,86,40,69
Test 6,86,42,69
Test 7,86,39,69
Test 8,86,40,38
Test 9,86,44,69
Test 10,86,43,69
Test 10,99,0,100
