Name,Speed,Accuracy,Efficiency
Test 1,71,53,70
Test 2,71,55,54
Test 3,71,52,55
Test 4,71,54,70
Test 5,71,54,60
Test 6,71,53,55
Test 7,71,51,70
Test 8,69,53,58
Test 9,70,54,68
Test 10,71,54,70

